iter	Passed	Remaining
351	1197	2204
352	1200	2201
353	1204	2197
354	1207	2193
355	1210	2189
356	1214	2186
357	1217	2183
358	1221	2181
359	1225	2178
360	1229	2177
361	1233	2174
362	1237	2172
363	1241	2169
364	1246	2167
365	1251	2168
366	1256	2166
367	1261	2166
368	1265	2163
369	1269	2162
370	1275	2162
371	1280	2161
372	1284	2159
373	1289	2157
374	1293	2155
375	1297	2153
376	1301	2151
377	1305	2149
378	1309	2145
379	1313	2143
380	1317	2140
381	1320	2136
382	1323	2132
383	1326	2128
384	1330	2124
385	1333	2120
386	1336	2117
387	1339	2113
388	1343	2109
389	1346	2105
390	1349	2102
391	1353	2099
392	1356	2095
393	1359	2091
394	1362	2087
395	1366	2083
396	1369	2079
397	1372	2075
398	1375	2071
399	1378	2068
400	1382	2064
401	1385	2060
402	1388	2056
403	1391	2052
404	1394	2049
405	1398	2046
406	1404	2046
407	1408	2043
408	1412	2041
409	1416	2038
410	1420	2035
411	1424	2032
412	1428	2029
413	1431	2025
414	1434	2022
415	1437	2018
416	1440	2014
417	1444	2010
418	1447	2006
419	1450	2002
420	1453	1999
421	1456	1995
422	1460	1991
423	1463	1987
424	1466	1984
425	1469	1980
426	1472	1976
427	1475	1972
428	1479	1968
429	1482	1964
430	1485	1960
431	1488	1957
432	1491	1953
433	1494	1949
434	1497	1945
